state,year,president,party
Vermont,2005,"Kerry, John",Democrat
Virginia,1981,"Reagan, Ronald",Republican
Virginia,1982,"Reagan, Ronald",Republican
Virginia,1983,"Reagan, Ronald",Republican
Virginia,1984,"Reagan, Ronald",Republican
Virginia,1985,"Reagan, Ronald",Republican
Virginia,1986,"Reagan, Ronald",Republican
Virginia,1987,"Reagan, Ronald",Republican
Virginia,1988,"Reagan, Ronald",Republican
Virginia,1989,"Bush, George H.W.",Republican
Virginia,1990,"Bush, George H.W.",Republican
Virginia,1991,"Bush, George H.W.",Republican
Virginia,1992,"Bush, George H.W.",Republican
Virginia,1993,"Bush, George H.W.",Republican
Virginia,1994,"Bush, George H.W.",Republican
Virginia,1995,"Bush, George H.W.",Republican
Virginia,1996,"Bush, George H.W.",Republican
Virginia,1997,"Dole, Robert",Republican
Virginia,1998,"Dole, Robert",Republican
Virginia,1999,"Dole, Robert",Republican
Virginia,2000,"Dole, Robert",Republican
Virginia,2001,"Bush, George W.",Republican
Virginia,2002,"Bush, George W.",Republican
Virginia,2003,"Bush, George W.",Republican
Virginia,2004,"Bush, George W.",Republican
Virginia,2005,"Bush, George W.",Republican
Washington,1981,"Reagan, Ronald",Republican
Washington,1982,"Reagan, Ronald",Republican
Washington,1983,"Reagan, Ronald",Republican
Washington,1984,"Reagan, Ronald",Republican
Washington,1985,"Reagan, Ronald",Republican
Washington,1986,"Reagan, Ronald",Republican
Washington,1987,"Reagan, Ronald",Republican
Washington,1988,"Reagan, Ronald",Republican
Washington,1989,"Dukakis, Michael",Democrat
Washington,1990,"Dukakis, Michael",Democrat
Washington,1991,"Dukakis, Michael",Democrat
Washington,1992,"Dukakis, Michael",Democrat
Washington,1993,"Clinton, Bill",Democrat
Washington,1994,"Clinton, Bill",Democrat
Washington,1995,"Clinton, Bill",Democrat
Washington,1996,"Clinton, Bill",Democrat
Washington,1997,"Clinton, Bill",Democrat
Washington,1998,"Clinton, Bill",Democrat
Washington,1999,"Clinton, Bill",Democrat
Washington,2000,"Clinton, Bill",Democrat
Washington,2001,"Gore, Al",Democrat
Washington,2002,"Gore, Al",Democrat
Washington,2003,"Gore, Al",Democrat
Washington,2004,"Gore, Al",Democrat
Washington,2005,"Kerry, John",Democrat
West Virginia,1981,"Carter, Jimmy",Democrat
West Virginia,1982,"Carter, Jimmy",Democrat
West Virginia,1983,"Carter, Jimmy",Democrat
West Virginia,1984,"Carter, Jimmy",Democrat
West Virginia,1985,"Reagan, Ronald",Republican
West Virginia,1986,"Reagan, Ronald",Republican
West Virginia,1987,"Reagan, Ronald",Republican
West Virginia,1988,"Reagan, Ronald",Republican
